geohash6,lat,lon,pop_proxy,puskesmas_count,klinik_count,rs_count,faskes_aplicares_count,nearest_rs_minutes_p95_proxy,equity_index_proxy,flood_risk,earthquake_risk,landslide_risk
-5.849766_112.662160,-5.849766,112.66216,986.63,0,1,1,2,20.0,493.315,0.0,0.0,0.0
-5.841433_112.637161,-5.841433,112.637161,383.85,1,0,0,1,45.038385,383.85,0.0,0.0,0.0
-5.733104_112.645494,-5.733104,112.645494,659.31,1,0,0,1,45.065931,659.31,0.0,0.0,0.0
-5.558111_114.428756,-5.558111,114.428756,359.53,1,0,0,1,45.035953,359.53,0.0,0.0,0.0
-5.533112_114.412090,-5.533112,114.41209,182.26,0,0,0,0,45.018226,1.8226,0.0,0.0,0.0
-5.541445_114.395424,-5.541445,114.395424,323.82,0,0,0,0,45.032382,3.2382,0.0,0.0,0.0
-5.541445_114.403757,-5.541445,114.403757,273.29,0,0,0,0,45.027329,2.7329000000000003,0.0,0.0,0.0
-5.541445_114.412090,-5.541445,114.41209,278.22,0,0,0,0,45.027822,2.7822000000000005,0.0,0.0,0.0
-5.541445_114.420423,-5.541445,114.420423,260.23,0,0,0,0,45.026023,2.6023,0.0,0.0,0.0
-5.549778_114.395424,-5.549778,114.395424,281.06,0,0,0,0,45.028106,2.8106,0.0,0.0,0.0
-5.549778_114.403757,-5.549778,114.403757,284.06,0,0,0,0,45.028406,2.8406000000000002,0.0,0.0,0.0
-5.549778_114.412090,-5.549778,114.41209,300.28,0,0,0,0,45.030028,3.0027999999999997,0.0,0.0,0.0
-5.549778_114.420423,-5.549778,114.420423,314.31,0,0,0,0,45.031431,3.1431,0.0,0.0,0.0
-5.549778_114.428756,-5.549778,114.428756,335.24,0,0,0,0,45.033524,3.3524000000000003,0.0,0.0,0.0
-5.549778_114.437089,-5.549778,114.437089,343.32,0,0,0,0,45.034332,3.4332,0.0,0.0,0.0
-5.549778_114.445422,-5.549778,114.44542200000001,326.86,0,0,0,0,45.032686,3.2686,0.0,0.0,0.0
-5.549778_114.453755,-5.549778,114.453755,309.87,0,0,0,0,45.030987,3.0987,0.0,0.0,0.0
-5.558111_114.395424,-5.558111,114.395424,357.16,0,0,0,0,45.035716,3.5716,0.0,0.0,0.0
-5.558111_114.403757,-5.558111,114.403757,327.16,0,0,0,0,45.032716,3.2716000000000003,0.0,0.0,0.0
-5.558111_114.412090,-5.558111,114.41209,272.59,0,0,0,0,45.027259,2.7258999999999998,0.0,0.0,0.0
-5.558111_114.420423,-5.558111,114.420423,347.21,0,0,0,0,45.034721,3.4720999999999997,0.0,0.0,0.0
-5.558111_114.437089,-5.558111,114.437089,309.52,0,0,0,0,45.030952,3.0951999999999997,0.0,0.0,0.0
-5.558111_114.445422,-5.558111,114.44542200000001,303.03,0,0,0,0,45.030303,3.0302999999999995,0.0,0.0,0.0
-5.558111_114.453755,-5.558111,114.453755,268.96,0,0,0,0,45.026896,2.6896,0.0,0.0,0.0
-5.566444_114.395424,-5.566444,114.395424,310.1,0,0,0,0,45.03101,3.1010000000000004,0.0,0.0,0.0
-5.566444_114.403757,-5.566444,114.403757,302.45,0,0,0,0,45.030245,3.0244999999999997,0.0,0.0,0.0
-5.566444_114.412090,-5.566444,114.41209,314.86,0,0,0,0,45.031486,3.1486,0.0,0.0,0.0
-5.566444_114.420423,-5.566444,114.420423,303.26,0,0,0,0,45.030326,3.0326,0.0,0.0,0.0
-5.566444_114.428756,-5.566444,114.428756,293.88,0,0,0,0,45.029388,2.9388,0.0,0.0,0.0
-5.566444_114.437089,-5.566444,114.437089,250.49,0,0,0,0,45.025049,2.5049,0.0,0.0,0.0
-5.566444_114.445422,-5.566444,114.44542200000001,283.01,0,0,0,0,45.028301,2.8301,0.0,0.0,0.0
-5.566444_114.453755,-5.566444,114.453755,303.01,0,0,0,0,45.030301,3.0301,0.0,0.0,0.0
-5.574777_114.395424,-5.574777,114.395424,274.0,0,0,0,0,45.0274,2.74,0.0,0.0,0.0
-5.574777_114.403757,-5.574777,114.403757,328.15,0,0,0,0,45.032815,3.2815,0.0,0.0,0.0
-5.574777_114.412090,-5.574777,114.41209,539.85,0,0,0,0,45.053985,5.3985,0.0,0.0,0.0
-5.574777_114.420423,-5.574777,114.420423,460.36,0,0,0,0,45.046036,4.6036,0.0,0.0,0.0
-5.574777_114.428756,-5.574777,114.428756,276.28,0,0,0,0,45.027628,2.7628,0.0,0.0,0.0
-5.574777_114.437089,-5.574777,114.437089,215.41,0,0,0,0,45.021541,2.1541,0.0,0.0,0.0
-5.574777_114.445422,-5.574777,114.44542200000001,299.21,0,0,0,0,45.029921,2.9920999999999998,0.0,0.0,0.0
-5.574777_114.453755,-5.574777,114.453755,327.06,0,0,0,0,45.032706,3.2706,0.0,0.0,0.0
-5.583110_114.420423,-5.5831100000000005,114.420423,410.38,0,0,0,0,45.041038,4.1038,0.0,0.0,0.0
-5.583110_114.428756,-5.5831100000000005,114.428756,322.35,0,0,0,0,45.032235,3.2235,0.0,0.0,0.0
-5.583110_114.437089,-5.5831100000000005,114.437089,199.55,0,0,0,0,45.019955,1.9955,0.0,0.0,0.0
-5.583110_114.445422,-5.5831100000000005,114.44542200000001,204.03,0,0,0,0,45.020403,2.0403000000000002,0.0,0.0,0.0
-5.583110_114.453755,-5.5831100000000005,114.453755,253.06,0,0,0,0,45.025306,2.5306,0.0,0.0,0.0
-5.591443_114.420423,-5.591443,114.420423,254.11,0,0,0,0,45.025411,2.5411,0.0,0.0,0.0
-5.591443_114.428756,-5.591443,114.428756,249.32,0,0,0,0,45.024932,2.4932,0.0,0.0,0.0
-5.591443_114.437089,-5.591443,114.437089,180.75,0,0,0,0,45.018075,1.8075,0.0,0.0,0.0
-5.716438_112.678826,-5.716438,112.678826,236.93,0,0,0,0,45.023693,2.3693,0.0,0.0,0.0
-5.716438_112.687159,-5.716438,112.68715900000001,234.34,0,0,0,0,45.023434,2.3434,0.0,0.0,0.0
-5.724771_112.670493,-5.7247710000000005,112.67049300000001,249.93,0,0,0,0,45.024993,2.4993,0.0,0.0,0.0
