geohash6,lat,lon,pop_proxy,puskesmas_count,klinik_count,rs_count,faskes_aplicares_count,nearest_rs_minutes_p95_proxy,equity_index_proxy,flood_risk,earthquake_risk,landslide_risk
-8.557991_114.103769,-8.557991,114.103769,1262.4,0,1,0,1,45.12624,1262.4,0.0,0.0,0.0
-8.591323_114.078770,-8.591323000000001,114.07877,677.37,0,1,0,1,45.067737,677.37,0.0,0.0,0.0
-8.566324_114.112102,-8.566324,114.11210200000001,1161.52,0,1,0,1,45.116152,1161.52,0.0,0.0,0.0
-8.549658_114.237097,-8.549658,114.237097,1263.86,0,1,0,1,45.126386,1263.86,0.0,0.0,0.0
-8.549658_114.112102,-8.549658,114.11210200000001,1154.78,0,1,0,1,45.115478,1154.78,0.0,0.0,0.0
-8.616322_114.153767,-8.616322,114.153767,277.88,0,1,0,1,45.027788,277.88,0.0,0.0,0.0
-8.541325_114.287095,-8.541325,114.28709500000001,1262.78,0,1,0,1,45.126278,1262.78,0.0,0.0,0.0
-8.516326_114.278762,-8.516326,114.278762,1465.37,1,0,0,1,45.146537,1465.37,0.0,0.0,0.0
-8.507993_114.170433,-8.507993,114.170433,924.96,1,1,0,2,45.092496,462.48,0.0,0.0,0.0
-8.557991_114.053771,-8.557991,114.053771,842.54,1,0,0,1,45.084254,842.54,0.0,0.0,0.0
-8.566324_114.062104,-8.566324,114.062104,1286.9,1,0,0,1,45.12869,1286.9,0.0,0.0,0.0
-8.549658_114.245430,-8.549658,114.24543,1438.89,0,1,0,1,45.143889,1438.89,0.0,0.0,0.0
-8.549658_114.262096,-8.549658,114.262096,941.83,0,2,0,2,45.094183,470.915,0.0,0.0,0.0
-8.674653_114.428756,-8.674653,114.428756,31.65,0,1,0,1,45.003165,31.65,0.0,0.0,0.0
-8.691319_114.453755,-8.691319,114.453755,26.55,0,1,0,1,45.002655,26.55,0.0,0.0,0.0
-8.557991_114.087103,-8.557991,114.087103,1284.44,0,1,0,1,45.128444,1284.44,0.0,0.0,0.0
-8.507993_113.278802,-8.507993,113.278802,129.49,0,0,0,0,45.012949,1.2949000000000002,0.0,0.0,0.0
