geohash6,lat,lon,pop_proxy,puskesmas_count,klinik_count,rs_count,faskes_aplicares_count,nearest_rs_minutes_p95_proxy,equity_index_proxy,flood_risk,earthquake_risk,landslide_risk
-6.483074_115.745370,-6.483074,115.74537000000001,7.75,0,0,0,0,45.000775,0.0775,0.0,0.0,0.0
-6.483074_115.753703,-6.483074,115.753703,7.77,0,0,0,0,45.000777,0.07769999999999999,0.0,0.0,0.0
-6.491407_115.745370,-6.491407,115.74537000000001,7.64,0,0,0,0,45.000764,0.0764,0.0,0.0,0.0
-6.491407_115.753703,-6.491407,115.753703,7.67,0,0,0,0,45.000767,0.0767,0.0,0.0,0.0
