geohash6,lat,lon,pop_proxy,puskesmas_count,klinik_count,rs_count,faskes_aplicares_count,nearest_rs_minutes_p95_proxy,equity_index_proxy,flood_risk,earthquake_risk,landslide_risk
-6.858059_111.612202,-6.858059,111.612202,0.0,0,1,0,1,45.0,0.0,0.0,0.0,0.0
-6.899724_112.070517,-6.899724,112.070517,5242.02,0,1,0,1,45.524202,5242.02,0.0,0.0,0.0
-6.899724_112.045518,-6.899724,112.045518,4979.37,0,4,1,5,20.0,995.874,0.0,0.0,0.0
-6.883058_112.020519,-6.883058,112.02051900000001,2857.92,0,1,1,2,20.0,1428.96,0.0,0.0,0.0
-6.883058_112.053851,-6.883058,112.05385100000001,4266.37,0,1,0,1,45.426637,4266.37,0.0,0.0,0.0
-6.908057_112.053851,-6.908057,112.05385100000001,3802.99,0,2,1,3,20.0,1267.6633333333332,0.0,0.0,0.0
-6.883058_112.012186,-6.883058,112.012186,1772.02,0,1,0,1,45.177202,1772.02,0.0,0.0,0.0
-6.891391_111.662200,-6.8913910000000005,111.6622,1267.32,0,3,1,4,20.0,316.83,0.0,0.0,0.0
-6.966388_111.762196,-6.966388,111.762196,573.33,0,1,1,2,20.0,286.665,0.0,0.0,0.0
-6.908057_112.062184,-6.908057,112.062184,4710.85,0,3,0,3,45.471085,1570.2833333333335,0.0,0.0,0.0
-6.991387_112.120515,-6.9913870000000005,112.120515,1259.97,0,1,0,1,45.125997,1259.97,0.0,0.0,0.0
-6.883058_112.037185,-6.883058,112.03718500000001,3130.09,0,1,0,1,45.313009,3130.09,0.0,0.0,0.0
-6.891391_112.053851,-6.8913910000000005,112.05385100000001,5208.64,0,5,1,6,20.0,868.1066666666667,0.0,0.0,0.0
-6.899724_112.062184,-6.899724,112.062184,6210.59,1,4,0,5,45.621059,1242.118,0.0,0.0,0.0
-6.899724_111.670533,-6.899724,111.670533,711.51,0,1,0,1,45.071151,711.51,0.0,0.0,0.0
-6.874725_112.020519,-6.874725,112.02051900000001,1214.68,0,1,0,1,45.121468,1214.68,0.0,0.0,0.0
-6.808061_111.978854,-6.808061,111.978854,1001.59,0,1,0,1,45.100159,1001.59,0.0,0.0,0.0
-6.916390_112.062184,-6.91639,112.062184,2794.16,0,2,0,2,45.279416,1397.08,0.0,0.0,0.0
-6.833060_112.003853,-6.83306,112.003853,3233.32,1,1,0,2,45.323332,1616.66,0.0,0.0,0.0
-6.899724_112.087183,-6.899724,112.087183,2900.3,0,1,0,1,45.29003,2900.3,0.0,0.0,0.0
-6.933056_111.995520,-6.9330560000000006,111.99552,326.81,0,1,0,1,45.032681,326.81,0.0,0.0,0.0
-6.891391_112.045518,-6.8913910000000005,112.045518,4683.23,0,2,0,2,45.468323,2341.615,0.0,0.0,0.0
-6.883058_111.995520,-6.883058,111.99552,1693.63,0,1,0,1,45.169363,1693.63,0.0,0.0,0.0
-6.883058_112.045518,-6.883058,112.045518,3508.3,0,1,0,1,45.35083,3508.3,0.0,0.0,0.0
-6.799728_111.845526,-6.799728,111.845526,2493.88,1,2,0,3,45.249388,831.2933333333334,0.0,0.0,0.0
-6.949722_111.895524,-6.949722,111.895524,785.02,0,2,0,2,45.078502,392.51,0.0,0.0,0.0
-6.899724_112.053851,-6.899724,112.05385100000001,5552.7,1,2,0,3,45.55527,1850.8999999999999,0.0,0.0,0.0
-6.891391_112.070517,-6.8913910000000005,112.070517,2867.24,0,1,0,1,45.286724,2867.24,0.0,0.0,0.0
-6.899724_112.078850,-6.899724,112.07885,3677.13,0,1,0,1,45.367713,3677.13,0.0,0.0,0.0
-6.908057_112.070517,-6.908057,112.070517,4478.14,0,1,0,1,45.447814,4478.14,0.0,0.0,0.0
-6.874725_111.962188,-6.874725,111.962188,975.22,0,1,0,1,45.097522,975.22,0.0,0.0,0.0
-6.891391_111.670533,-6.8913910000000005,111.670533,724.87,0,1,0,1,45.072487,724.87,0.0,0.0,0.0
-6.774729_111.712198,-6.774729,111.712198,2057.38,1,1,0,2,45.205738,1028.69,0.0,0.0,0.0
-6.899724_112.128848,-6.899724,112.128848,0.0,0,1,0,1,45.0,0.0,0.0,0.0,0.0
-6.874725_112.037185,-6.874725,112.03718500000001,2912.56,0,1,0,1,45.291256,2912.56,0.0,0.0,0.0
-6.874725_111.987187,-6.874725,111.987187,1330.19,0,1,0,1,45.133019,1330.19,0.0,0.0,0.0
-6.866392_112.353839,-6.866392,112.35383900000001,2503.13,0,1,1,2,20.0,1251.565,0.0,0.0,0.0
-6.866392_112.328840,-6.866392,112.32884,2060.83,0,1,1,2,20.0,1030.415,0.0,0.0,0.0
-6.866392_112.345506,-6.866392,112.345506,0.0,1,1,0,2,45.0,0.0,0.0,0.0,0.0
-6.891391_112.237177,-6.8913910000000005,112.237177,684.29,1,1,0,2,45.068429,342.145,0.0,0.0,0.0
-6.958055_112.295508,-6.958055,112.295508,744.51,1,1,0,2,45.074451,372.255,0.0,0.0,0.0
-6.991387_112.370505,-6.9913870000000005,112.37050500000001,1410.43,1,1,0,2,45.141043,705.215,0.0,0.0,0.0
-6.999720_112.395504,-6.99972,112.395504,1175.92,1,1,0,2,45.117592,587.96,0.0,0.0,0.0
-6.916390_112.353839,-6.91639,112.35383900000001,1676.32,1,1,0,2,45.167632,838.16,0.0,0.0,0.0
-6.891391_112.445502,-6.8913910000000005,112.445502,2421.54,1,1,0,2,45.242154,1210.77,0.0,0.0,0.0
-6.874725_112.295508,-6.874725,112.295508,4608.54,0,2,0,2,45.460854,2304.27,0.0,0.0,0.0
-6.883058_112.295508,-6.883058,112.295508,2837.16,0,1,0,1,45.283716,2837.16,0.0,0.0,0.0
-6.983054_112.287175,-6.983054,112.287175,1370.89,0,1,0,1,45.137089,1370.89,0.0,0.0,0.0
-6.933056_112.345506,-6.9330560000000006,112.345506,706.59,0,1,0,1,45.070659,706.59,0.0,0.0,0.0
-6.899724_112.345506,-6.899724,112.345506,1416.17,0,1,0,1,45.141617,1416.17,0.0,0.0,0.0
-6.866392_112.337173,-6.866392,112.337173,2534.77,0,3,0,3,45.253477,844.9233333333333,0.0,0.0,0.0
-6.874725_112.287175,-6.874725,112.287175,2873.4,0,1,0,1,45.28734,2873.4,0.0,0.0,0.0
-6.883058_112.453835,-6.883058,112.453835,2891.77,0,1,0,1,45.289177,2891.77,0.0,0.0,0.0
-6.874725_112.395504,-6.874725,112.395504,3565.31,0,1,0,1,45.356531,3565.31,0.0,0.0,0.0
-6.874725_112.387171,-6.874725,112.387171,3205.79,0,1,0,1,45.320579,3205.79,0.0,0.0,0.0
-6.874725_112.278842,-6.874725,112.278842,1489.85,0,2,0,2,45.148985,744.925,0.0,0.0,0.0
-6.874725_112.303841,-6.874725,112.303841,3432.36,0,1,0,1,45.343236,3432.36,0.0,0.0,0.0
-6.883058_112.303841,-6.883058,112.303841,2572.13,0,1,0,1,45.257213,2572.13,0.0,0.0,0.0
-6.966388_112.353839,-6.966388,112.35383900000001,1294.48,0,1,0,1,45.129448,1294.48,0.0,0.0,0.0
-6.958055_112.503833,-6.958055,112.503833,1911.28,0,1,1,2,20.0,955.64,0.0,0.0,0.0
-6.991387_112.562164,-6.9913870000000005,112.562164,2824.47,0,2,1,3,20.0,941.4899999999999,0.0,0.0,0.0
-6.966388_112.478834,-6.966388,112.478834,608.03,0,1,0,1,45.060803,608.03,0.0,0.0,0.0
-6.974721_112.462168,-6.974721,112.462168,565.21,0,1,0,1,45.056521,565.21,0.0,0.0,0.0
-6.916390_112.553831,-6.91639,112.553831,1900.3,0,1,0,1,45.19003,1900.3,0.0,0.0,0.0
-6.891391_112.453835,-6.8913910000000005,112.453835,2707.72,0,1,0,1,45.270772,2707.72,0.0,0.0,0.0
-6.891391_113.028812,-6.8913910000000005,113.028812,1800.21,0,1,0,1,45.180021,1800.21,0.0,0.0,0.0
