geohash6,lat,lon,pop_proxy,puskesmas_count,klinik_count,rs_count,faskes_aplicares_count,nearest_rs_minutes_p95_proxy,equity_index_proxy,flood_risk,earthquake_risk,landslide_risk
-7.299708_111.487207,-7.299708,111.487207,125.8,0,1,0,1,45.01258,125.8,0.0,0.0,0.0
-7.149714_111.603869,-7.149714,111.603869,2988.23,0,1,0,1,45.298823,2988.23,0.0,0.0,0.0
-7.399704_112.703825,-7.399704,112.703825,5562.89,1,1,0,2,45.556289,2781.445,0.0,0.0,0.0
-7.449702_112.720491,-7.449702,112.720491,8910.24,1,6,0,7,45.891024,1272.8914285714286,0.0,0.0,0.0
-7.458035_112.687159,-7.458035,112.68715900000001,5568.57,1,0,0,1,45.556857,5568.57,0.0,0.0,0.0
-7.424703_112.653827,-7.424703,112.653827,4245.35,1,1,0,2,45.424535,2122.675,0.0,0.0,0.0
-7.458035_112.512166,-7.458035,112.51216600000001,3093.67,1,0,0,1,45.309367,3093.67,0.0,0.0,0.0
-7.349706_112.778822,-7.349706,112.778822,5663.95,1,1,0,2,45.566395,2831.975,0.0,0.0,0.0
-7.358039_112.728824,-7.358039,112.728824,8937.01,0,3,0,3,45.893701,2979.0033333333336,0.0,0.0,0.0
-7.441369_112.720491,-7.441369,112.720491,8149.79,0,4,0,4,45.814979,2037.4475,0.0,0.0,0.0
-7.349706_112.687159,-7.349706,112.68715900000001,9337.96,1,2,1,4,20.0,2334.49,0.0,0.0,0.0
-7.416370_112.720491,-7.41637,112.720491,6699.62,0,1,0,1,45.669962,6699.62,0.0,0.0,0.0
-7.458035_112.720491,-7.458035,112.720491,9214.3,0,6,2,8,15.0,1151.7875,0.0,0.0,0.0
-7.433036_112.462168,-7.433036,112.462168,4388.44,0,2,1,3,20.0,1462.8133333333333,0.0,0.0,0.0
-7.374705_112.762156,-7.3747050000000005,112.762156,7057.27,0,2,1,3,20.0,2352.4233333333336,0.0,0.0,0.0
-7.349706_112.770489,-7.349706,112.770489,8926.35,0,1,1,2,20.0,4463.175,0.0,0.0,0.0
-7.483034_112.653827,-7.483034,112.653827,4143.57,0,2,1,3,20.0,1381.1899999999998,0.0,0.0,0.0
-7.241377_112.753823,-7.241377,112.753823,15259.03,0,3,1,4,20.0,3814.7575,0.0,0.0,0.0
-7.433036_112.570497,-7.433036,112.570497,3664.81,0,1,1,2,20.0,1832.405,0.0,0.0,0.0
-7.391371_112.720491,-7.391371,112.720491,6186.81,0,2,0,2,45.618681,3093.405,0.0,0.0,0.0
-7.424703_112.670493,-7.424703,112.67049300000001,4068.2,0,1,1,2,20.0,2034.1,0.0,0.0,0.0
-7.441369_112.687159,-7.441369,112.68715900000001,7135.48,1,2,0,3,45.713548,2378.4933333333333,0.0,0.0,0.0
-7.341373_112.778822,-7.341373,112.778822,11142.58,0,3,1,4,20.0,2785.645,0.0,0.0,0.0
-7.391371_112.670493,-7.391371,112.67049300000001,4453.21,0,2,1,3,20.0,1484.4033333333334,0.0,0.0,0.0
-7.449702_112.703825,-7.449702,112.703825,9739.89,0,3,1,4,20.0,2434.9725,0.0,0.0,0.0
-7.349706_112.762156,-7.349706,112.762156,9005.69,0,2,1,3,20.0,3001.896666666667,0.0,0.0,0.0
-7.483034_112.712158,-7.483034,112.712158,7349.71,1,3,1,5,20.0,1469.942,0.0,0.0,0.0
-7.449702_112.712158,-7.449702,112.712158,9274.51,0,6,1,7,20.0,1324.93,0.0,0.0,0.0
-7.374705_112.753823,-7.3747050000000005,112.753823,6105.66,0,2,0,2,45.610566,3052.83,0.0,0.0,0.0
-7.408037_112.587163,-7.408037,112.587163,6240.89,1,2,1,4,20.0,1560.2225,0.0,0.0,0.0
-7.366372_112.737157,-7.366372,112.737157,7744.48,0,3,0,3,45.774448,2581.4933333333333,0.0,0.0,0.0
-7.349706_112.695492,-7.349706,112.695492,8160.5,0,4,1,5,20.0,1632.1,0.0,0.0,0.0
-7.366372_112.712158,-7.366372,112.712158,5361.53,0,2,0,2,45.536153,2680.765,0.0,0.0,0.0
-7.416370_112.670493,-7.41637,112.67049300000001,4273.88,1,5,1,7,20.0,610.5542857142857,0.0,0.0,0.0
-7.374705_112.712158,-7.3747050000000005,112.712158,5895.29,0,2,0,2,45.589529,2947.645,0.0,0.0,0.0
-7.358039_112.762156,-7.358039,112.762156,9325.23,0,2,0,2,45.932523,4662.615,0.0,0.0,0.0
-7.424703_112.587163,-7.424703,112.587163,5231.21,0,1,0,1,45.523121,5231.21,0.0,0.0,0.0
-7.341373_112.770489,-7.341373,112.770489,11830.7,0,2,0,2,46.18307,5915.35,0.0,0.0,0.0
-7.383038_112.770489,-7.383038,112.770489,5890.62,0,1,0,1,45.589062,5890.62,0.0,0.0,0.0
-7.358039_112.687159,-7.358039,112.68715900000001,7233.14,0,2,0,2,45.723314,3616.57,0.0,0.0,0.0
-7.358039_112.778822,-7.358039,112.778822,5400.83,0,1,0,1,45.540083,5400.83,0.0,0.0,0.0
-7.424703_112.720491,-7.424703,112.720491,7526.72,0,3,0,3,45.752672,2508.9066666666668,0.0,0.0,0.0
-7.374705_112.645494,-7.3747050000000005,112.645494,6459.67,0,2,0,2,45.645967,3229.835,0.0,0.0,0.0
-7.441369_112.645494,-7.441369,112.645494,3866.97,0,1,0,1,45.386697,3866.97,0.0,0.0,0.0
-7.399704_112.670493,-7.399704,112.67049300000001,3919.62,0,1,0,1,45.391962,3919.62,0.0,0.0,0.0
