id,nama,tipe_kode,tipe_label,lat,lon
aplicares_1003,OPTIK INTERNASIONAL PANDAAN,O,Optik,-7.657877511868837,112.69655651111032
aplicares_1004,OPTIK ARIES ,O,Optik,-7.6568192911171105,112.69645229345701
aplicares_1005,OPTIK MARLIN BANGIL,O,Optik,-7.597721,112.78066
aplicares_1006,OPTIK INTERNASIONAL PURWOSARI,O,Optik,-7.773712721884221,112.74516444610593
aplicares_1007,OPTIK TERANG GRATI,O,Optik,-7.73611,112.992653
aplicares_1008,RS BHAYANGKARA WATUKOSEK,R,Rumah Sakit,-7.56795,112.66
aplicares_1009,RSI MASYITHOH,R,Rumah Sakit,-7.59792,112.78
aplicares_1010,RS MITRA SEHAT MEDIKA,R,Rumah Sakit,-7.66294,112.695
aplicares_1011,RS ASIH ABYAKTA,R,Rumah Sakit,-7.612875168996526,112.68668869611344
aplicares_1012,RS SAHABAT,R,Rumah Sakit,-7.68817,112.709
aplicares_1013,RSUD GRATI,R,Rumah Sakit,-7.71427,112.998
aplicares_1014,RS PRIMA HUSADA SUKOREJO,R,Rumah Sakit,-7.711736977119804,112.71443988227449
aplicares_1015,Klinik Mata Pandaan,S,Klinik Utama/Spesialis,-7.659770996853406,112.6911448392868
aplicares_1016,KLINIK RI AISYIYAH PANDAAN,S,Klinik Utama/Spesialis,-7.64808,112.706
aplicares_1017,dr. Herpito Wibisono Antoni ,U,Praktik Dokter,-7.5483,112.698
aplicares_1018,"dr. Wiwik Winarningsih , MARS",U,Praktik Dokter,-7.58725,112.791
aplicares_1019,"dr. Ugik Setyo Darmoko , M.Kes",U,Praktik Dokter,-7.613927827812919,112.7565578994751
aplicares_1020,dr. Sudjarwo ,U,Praktik Dokter,-7.630575162998306,112.88028900802136
aplicares_1021,dr. Eri Sobari ,U,Praktik Dokter,-7.58711,112.742
aplicares_1022,dr. Ni Made Sri Widiawaty ,U,Praktik Dokter,-7.715775488642345,112.99785113739965
aplicares_1023,dr. Halifah W. Akbaryanti ,U,Praktik Dokter,-7.67926,112.884
aplicares_1024,dr. I Wayan Suarka,U,Praktik Dokter,-7.89752,112.822
aplicares_1025,DR. WAHYUNI SULISTYANINGSIH,U,Praktik Dokter,-7.75259,112.732
aplicares_1026,DR. IDA BAGUS KOKO,U,Praktik Dokter,-7.72439,112.722
aplicares_1027,DR. MOH NUR HUMAIDI ZULMI,U,Praktik Dokter,-7.7179734459689,113.07176933002
