kategori,sumber,nama,detail,alamat,kecamatan,kabupaten,lat,lon
madrasah,madrasah,MTs Negeri,MTSN MADIUN,,,,-7.63394999989,111.51823
madrasah,madrasah,MTs Swasta,MTS PSM TANJUNGANOM,,,,-7.63766999967,112.03476
madrasah,madrasah,MTs Swasta,10012,,,,-7.18230999981,113.48083
madrasah,madrasah,MTs Swasta,MTs. Darul Ulum,,,,-6.89479000036,112.23848
madrasah,madrasah,MA Swasta,SEKOLAHAN,,,,-7.59236000021,112.77408
madrasah,madrasah,MA Swasta,Madrasah Aliyah Darus Sholah,,,,-8.19313999991,113.68592
madrasah,madrasah,MA Swasta,10016,,,,-7.18251000004,113.4808
madrasah,madrasah,MI Swasta,MI nurul yakin,,,,-6.91778000025,113.55584
madrasah,madrasah,MI Swasta,MI Miftahul Ulum,,,,-6.91641000002,113.55625
madrasah,madrasah,MI Swasta,MI Uswatun Hasanah,,,,-7.21498000003,112.76777
madrasah,madrasah,MTs Negeri,MTSN 1 LAMONGAN,,,,-7.10026999996,112.18712
madrasah,madrasah,MTs Swasta,MTS Miftahul Ulum,,,,-6.91634999995,113.55614
madrasah,madrasah,MTs Swasta,MTs Uswatun Hasanah,,,,-7.21504999966,112.76777
madrasah,madrasah,MA Swasta,Pondok Pesantren,,,,-7.21489000037,112.76737
madrasah,madrasah,MI Swasta,MI MA`ARIF NU,,,,-7.0338700001,111.7788
madrasah,madrasah,MI Swasta,MI Anfaul Ulum (10008),,,,-6.92016000028,113.57292
madrasah,madrasah,MI Swasta,Taman Pendidikan  Islam,,,,-6.88205000011,112.45345
madrasah,madrasah,MI Swasta,MI Assunni Assalafi (10008),,,,-6.91511999989,113.56861
madrasah,madrasah,MI Swasta,MI NURUL ULUM,,,,-8.28937999989,113.61253
madrasah,madrasah,MI Swasta,MI DARUL ULUM,,,,-8.1809600003,113.60108
madrasah,madrasah,MTs Swasta,MTS Darul Hikmah,,,,-7.52346000018,112.41144
madrasah,madrasah,MA Swasta,MA Darul Hikmah,,,,-7.52366999997,112.41149
madrasah,madrasah,MI Swasta,INSFRASTRUKTUR,,,,-6.92223000041,112.31458
madrasah,madrasah,MI Swasta,MI Bustanul ulum,,,,-8.11834000029,113.54886
madrasah,madrasah,MI Swasta,MI MAMBAUL ULUM,,,,-8.1166499997,113.54978
madrasah,madrasah,MI Swasta,gedung 1 Mi riyadlatul mubtadiin,,,,-7.05217000044,113.55726
madrasah,madrasah,MI Swasta,MI darus sa`adah,,,,-8.23381999989,113.70275
madrasah,madrasah,MI Swasta,gedung 2 MI fathul ulum,,,,-7.06153999997,113.55142
madrasah,madrasah,MI Swasta,Madrasah Diniyah Roudlatul Ulum,,,,-7.04507000038,112.85852
madrasah,madrasah,MI Swasta,Madrasah Diniyah Riyadlus Shobirin,,,,-7.0432199996,112.85672
madrasah,madrasah,MI Swasta,sekolah,,,,-7.44050000017,112.73189
madrasah,madrasah,MI Swasta,MI MA`ARIF PLUMPANG,,,,-7.10501999957,112.33829
madrasah,madrasah,MI Negeri,MIN DEMANGAN,,,,-7.65919999968,111.51452
madrasah,madrasah,MI Swasta,madrasah diniyah miftahul ulum,,,,-8.10299000019,113.53702
madrasah,madrasah,MI Swasta,MI Nurul Islam,,,,-7.10671000017,112.85887
madrasah,madrasah,MI Swasta,madrasah assalafiyah,,,,-7.10802999988,112.83865
madrasah,madrasah,MI Swasta,MI MIFTAHUL ULUM,,,,-7.39727999997,112.37514
madrasah,madrasah,MTs Negeri,MTSN KOTA MADIUN,,,,-7.65658999983,111.51474
madrasah,madrasah,MTs Swasta,MTs HIKMATUL HASAN,,,,-8.27164999975,113.50203
madrasah,madrasah,MTs Swasta,mts al-amin,,,,-7.13986000004,113.4765
madrasah,madrasah,MA Swasta,MA HIKMATUL HASAN,,,,-8.27160000014,113.50204
madrasah,madrasah,MI Swasta,madrasah diniyah al-amin,,,,-7.13979000041,113.47651
madrasah,madrasah,MI Swasta,sekolah madrasah baitul quran,,,,-6.91788999992,113.27376
madrasah,madrasah,MI Swasta,mi raudlatul mubtadiin,,,,-6.92314000011,113.27432
madrasah,madrasah,MI Swasta,MI AL IHSAN,,,,-7.66699999965,112.30363
madrasah,madrasah,MTs Swasta,MTS MIFTAHUL ULUM,,,,-7.39725000039,112.37515
madrasah,madrasah,MTs Swasta,mts raudlatul mubtadiin,,,,-6.92314000011,113.27432
madrasah,madrasah,MTs Swasta,MTS AL IHSAN,,,,-7.6668299999,112.30355
madrasah,madrasah,MA Swasta,ponpes al-amin,,,,-7.13975999992,113.47665
madrasah,madrasah,MA Swasta,MA raudlatul mubtadiin,,,,-6.92314000011,113.27432
madrasah,madrasah,MI Swasta,madrasah MI blater,,,,-7.18306000022,112.91375
madrasah,madrasah,MI Swasta,Madrasah Diniyah,,,,-7.15714000011,113.04661
madrasah,madrasah,MI Swasta,Sekokah,,,,-7.99961999966,113.25921
madrasah,madrasah,MI Swasta,Madrasah Bustanul Khoir,,,,-8.06192999977,113.21163
madrasah,madrasah,MI Swasta,MI Attarbiyarus Sa`adah,,,,-7.1165200002,112.24734
madrasah,madrasah,MTs Swasta,MTS Bani mas`udiyah,,,,-7.1571699997,113.04671
madrasah,madrasah,MTs Swasta,Sekolah,,,,-7.99983000035,113.25893
madrasah,madrasah,MTs Swasta,MTS MA`ARIF PLUMPANG,,,,-7.1047000001,112.33839
madrasah,madrasah,MTs Swasta,MTs Raudlatul Falah,,,,-8.18226999956,112.70039
madrasah,madrasah,MA Swasta,Sekolah,,,,-7.99992999957,113.25883
madrasah,madrasah,MI Swasta,MI NURUL IMAN motong,,,,-6.95091999966,111.88141
madrasah,madrasah,MI Swasta,MI Al Hikmah,,,,-7.08157999962,114.02547
madrasah,madrasah,MI Swasta,madrasah ibtidaiya darus salam,,,,-7.81780999983,114.04527
madrasah,madrasah,MTs Swasta,MTs Mirqotul Ulum,,,,-7.8287000002,113.30093
madrasah,madrasah,MTs Swasta,MTS Miftahul Ulum,,,,-7.99975999982,113.2603
madrasah,madrasah,MA Swasta,MA Mirqotul Ulum,,,,-7.82866999972,113.30094
madrasah,madrasah,MI Swasta,MI An Najihah Babussalam,,,,-7.73938999965,111.45971
madrasah,madrasah,MI Swasta,madrasah diniyah,,,,-7.17842999984,112.89699
madrasah,madrasah,MI Swasta,MI.Miftahul Ulum (10008),,,,-6.89506999978,113.57644
madrasah,madrasah,MI Swasta,MD.AS SYARIFIYAH,,,,-7.12218000041,112.84305
madrasah,madrasah,MI Swasta,Yayasan Mamba`ul ulum,,,,-7.21409999991,113.04375
madrasah,madrasah,MI Swasta,MI SUNAN DRAJAD DUNI,,,,-7.06847000029,112.47036
madrasah,madrasah,MTs Swasta,sekolahan MTS,,,,-8.19894999984,113.20672
madrasah,madrasah,MI Swasta,MI FAJRUL ISLAM 02 PULO,,,,-8.17538999975,113.15531
madrasah,madrasah,MI Swasta,madrasah ibtidayah,,,,-8.02522999986,111.70301
madrasah,madrasah,MI Swasta,skolah madrasah ibtidayah Al hidayah,,,,-8.02481999984,111.70341
madrasah,madrasah,MI Swasta,MD. madzahibul Arba`ah,,,,-7.10260000039,112.84273
madrasah,madrasah,MTs Swasta,MTS.Ikhtiyarul Ummah (10012),,,,-6.89243000034,113.5806
madrasah,madrasah,MA Swasta,MA Mujtahidin,,,,-7.80159999964,112.25534
madrasah,madrasah,MI Swasta,MI Mujahidin,,,,-7.8014800004,112.25539
madrasah,madrasah,MI Swasta,MI PANJI LARAS,,,,-7.15383999992,112.92669
madrasah,madrasah,MI Swasta,MI RAUDLATUL MUTTAQIN,,,,-6.96337000003,113.67751
madrasah,madrasah,MI Swasta,Madrasah Riyadlul Muttaqin,,,,-7.60703000043,111.46039
madrasah,madrasah,MTs Swasta,MTs Mujahidin,,,,-7.80099000029,112.25548
madrasah,madrasah,MI Swasta,MI IHYAUL ULUM SUKODONO,,,,-6.95733999984,112.45563
madrasah,madrasah,MA Negeri,MAN 01 Jember,,,,-8.18591999971,113.67536
madrasah,madrasah,MI Swasta,SEKOLAHAN,,,,-7.6520000004,112.8644
madrasah,madrasah,MI Swasta,MI,,,,-8.21468999994,112.98827
madrasah,madrasah,MA Swasta,Sekolah,,,,-7.03110999963,113.42936
madrasah,madrasah,MI Swasta,Madrasah Ibtidaiyah Tarbiyatul Islam Coper Bangunan Kelas 1-6,,,,-7.95295000044,111.50655
madrasah,madrasah,MI Swasta,MI RAUDLATU SHALIHIN,,,,-7.76282000004,113.51826
madrasah,madrasah,MI Swasta,MI AL-FALAH,,,,-7.06533999984,112.52336
madrasah,madrasah,MI Swasta,madarasah mi,,,,-7.94043000044,112.64351
madrasah,madrasah,MI Swasta,MI MAHASINUL AKHLAQ,,,,-7.03155999969,113.69027
madrasah,madrasah,MTs Swasta,MTS darul ulum,,,,-8.23827000006,113.2039
madrasah,madrasah,MA Swasta,MA MAHASINUL AKHLAQ,,,,-7.0310899996,113.6904
madrasah,madrasah,MI Swasta,MI Mambaululum,,,,-8.17339999971,112.66024
madrasah,madrasah,MI Swasta,MI Sunan Ampel,,,,-8.28114000031,114.26869
madrasah,madrasah,MI Swasta,sekolah ibtidaiyah,,,,-6.9110900002,112.88674
madrasah,madrasah,MI Swasta,madrasah ibtidaiyah miftahul huda,,,,-6.91164000039,112.87971
madrasah,madrasah,MA Swasta,MA miftahul ulum,,,,-8.2439999999,113.20111
madrasah,madrasah,MI Swasta,Madrasah Ibtidaiyah,,,,-8.19352999991,113.44377
madrasah,madrasah,MI Swasta,SEKOLAHAN,,,,-6.95789999959,112.29882
madrasah,madrasah,MI Swasta,MI salafiyah pandanwangi,,,,-8.23843000024,113.19547
madrasah,madrasah,MI Swasta,Sekolah,,,,-7.24728000027,111.75485
madrasah,madrasah,MI Swasta,MI Al- amin,,,,-6.9007799996,113.22811
madrasah,madrasah,MI Swasta,MIM PAGERKIDUL,,,,-8.24483999997,111.33221
madrasah,madrasah,MI Swasta,MI mambaul ulum,,,,-6.90602000022,112.88827
madrasah,madrasah,MI Swasta,MI al falah,,,,-6.89732000012,112.89063
madrasah,madrasah,MI Swasta,Mi Mawahirul Athfal,,,,-7.17467000002,113.05365
madrasah,madrasah,MI Swasta,MI Muhammadiyah Perante,,,,-7.75699999965,114.22107
madrasah,madrasah,MI Swasta,"sekolah madrasah salafiyah syafi,iyah",,,,-8.20374999996,113.65248
madrasah,madrasah,MI Swasta,Madrasah misbehul munir,,,,-6.93270999987,112.86333
madrasah,madrasah,MI Swasta,sekolah,,,,-8.16177999985,112.65574
madrasah,madrasah,MTs Swasta,mts darul fathi,,,,-6.91037999984,112.8908
madrasah,madrasah,MTs Swasta,MTs Salafiyah pandanwangi,,,,-8.23849000031,113.19559
madrasah,madrasah,MTs Swasta,MTs Al-amin Fauzi,,,,-7.1720000001,113.05282
madrasah,madrasah,MA Swasta,MA Al-Amin fauzi,,,,-7.17196000005,113.05284
madrasah,madrasah,MI Swasta,mi salafiyah nurul jadid,,,,-6.83511999969,111.89355
madrasah,madrasah,MI Swasta,MI,,,,-7.65494999974,113.0054
madrasah,madrasah,MI Swasta,MI miftahul ulum,,,,-8.24910000036,113.20015
madrasah,madrasah,MI Swasta,MI GUPPI JATIMALANG,,,,-8.10498000023,111.15015
madrasah,madrasah,MTs Swasta,MTS.MAMBAUL HIKMAH,,,,-8.15839999956,113.48518
madrasah,madrasah,MTs Swasta,MTS miftahul ulum,,,,-8.24775000016,113.20049
madrasah,madrasah,MI Swasta,Madrasah ibtidaiyah,,,,-7.67994999969,112.79342
madrasah,madrasah,MI Swasta,MI MIFTAHUL ULUM,,,,-7.08707999964,113.42472
madrasah,madrasah,MI Swasta,MI AL IKHLAS,,,,-8.07947000014,113.09833
madrasah,madrasah,MI Swasta,Madrasah Miftahul Ulum II,,,,-7.13368999969,113.5347
madrasah,madrasah,MI Swasta,SEKOLAH,,,,-7.70442000038,112.6495
madrasah,madrasah,MI Swasta,MI MA`ARIF NU KEBALANDONO,,,,-7.09934000024,112.23444
madrasah,madrasah,MTs Swasta,mts al miftah,,,,-7.19782999965,113.03246
madrasah,madrasah,MTs Swasta,MTS MIFTAHUL ULUM,,,,-7.08705000006,113.42482
madrasah,madrasah,MA Swasta,MA al miftah,,,,-7.19776000002,113.03226
madrasah,madrasah,MI Swasta,MI Al-Makmur,,,,-7.12266000006,111.78457
madrasah,madrasah,MI Swasta,madrasa,,,,-7.01995999985,112.46754
madrasah,madrasah,MI Swasta,MI. AL-AMIRUDDIN SUMBER KASAMPIH,,,,-6.96601000036,113.46092
madrasah,madrasah,MI Swasta,MI Baitul Muttaqin,,,,-7.26590999965,112.01079
madrasah,madrasah,MI Swasta,Infrastruktur,,,,-8.23361999966,113.62671
madrasah,madrasah,MTs Swasta,MTS AL-UBUDIYAH,,,,-7.13210000011,113.59381
madrasah,madrasah,MTs Swasta,MTs Al-Makmur,,,,-7.12260999955,111.78445
madrasah,madrasah,MTs Swasta,MTs Baitul Muttaqin,,,,-7.26545000002,112.01128
madrasah,madrasah,MA Swasta,MA. Al-ubudiyah,,,,-7.13206000007,113.59388
madrasah,madrasah,MA Swasta,MA MIFTAHUL ULUM,,,,-7.08690000033,113.425
madrasah,madrasah,MI Swasta,MI RAUDLATUL ULUM DARUNGAN,,,,-8.16040000006,113.48208
madrasah,madrasah,MI Swasta,MADIN TARBIYATUSSIBYAN,,,,-7.10207999979,112.44352
madrasah,madrasah,MI Swasta,Madrasah Ta`limus Syibyan,,,,-7.16112000019,112.8866
madrasah,madrasah,MI Swasta,PENDIDIKAN,,,,-6.86979000041,112.33994
madrasah,madrasah,MI Swasta,Madrasah Ibtidaiyah Miftahul Ulum NU,,,,-7.16986000034,112.73254
madrasah,madrasah,MI Swasta,MI RAUDLATUL MUTA` ALLIMIN AL HASANIYAH,,,,-6.90007999969,112.87841
madrasah,madrasah,MI Swasta,MI ROUDLOTUL MUTA`ALLIMIN,,,,-7.09365000045,112.31742
madrasah,madrasah,MTs Swasta,MTs Al Mukhlishin,,,,-7.15041999958,113.55159
madrasah,madrasah,MTs Swasta,sekolah madrasah,,,,-7.01695000044,112.758
madrasah,madrasah,MA Swasta,Mas fatihul ulum al mahfudz,,,,-8.15945999988,113.45262
madrasah,madrasah,MI Swasta,YAYASAN NURUL ULUM,,,,-7.0210400002,112.88053
madrasah,madrasah,MI Swasta,LP MA`ARIF NU HIDAYATUL MUBTADI`IN,,,,-6.90639999976,112.19815
madrasah,madrasah,MTs Negeri,MTSN 1 Jember,,,,-8.18829000018,113.68627
madrasah,madrasah,MTs Swasta,MTs Nurul Iman,,,,-7.71953000021,114.11628
madrasah,madrasah,MA Swasta,MA Nurul Iman,,,,-7.71926000035,114.1156
madrasah,madrasah,MI Swasta,RA.MI MIFTAHUL ULUM,,,,-7.19917999986,112.35692
madrasah,madrasah,MI Swasta,10008,,,,-6.93369000009,112.35536
madrasah,madrasah,MI Swasta,MI MAARIF NU ISLAMIYAH WOTGALIH,,,,-8.28810000021,113.30429
madrasah,madrasah,MI Swasta,Infrastruktur,,,,-6.8731699998,112.34129
madrasah,madrasah,MTs Negeri,mts negri,,,,-8.26366000001,112.70202
madrasah,madrasah,MTs Swasta,10012,,,,-6.93393000037,112.3553
madrasah,madrasah,MA Swasta,Infrastruktur,,,,-6.87269999971,112.34152
madrasah,madrasah,MI Swasta,Mi islamiyah,,,,-7.97169999995,112.76493
madrasah,madrasah,MI Swasta,MI Mansyaul Huda,,,,-7.12808999955,111.78524
madrasah,madrasah,MI Swasta,10008,,,,-8.25653000036,112.58067
madrasah,madrasah,MTs Swasta,Mts islamiyah,,,,-7.97163999989,112.76465
madrasah,madrasah,MI Swasta,MI Alfalah,,,,-7.05646000043,111.77666
madrasah,madrasah,MI Swasta,SEKOLAH MI,,,,-7.18766000011,112.37399
madrasah,madrasah,MA Swasta,MADRASAH ALIYAH DARUL MUTA`ALLIMIN,,,,-7.00208999955,112.89874
madrasah,madrasah,MI Swasta,MUSHOLLA FATHURRAHMAH,,,,-6.99865999966,113.9582
madrasah,madrasah,MI Swasta,MI MAMBAUL ULUM,,,,-6.99953999977,113.96015
madrasah,madrasah,MI Swasta,infrastruktur,,,,-7.98698000043,112.59776
madrasah,madrasah,MI Swasta,"MI ""Al Iman""",,,,-7.98869999971,112.65741
madrasah,madrasah,MI Swasta,MI miftahul ulum,,,,-6.90842000028,113.26281
madrasah,madrasah,MI Swasta,MI MISTAHUL ULUM1,,,,-8.32847000029,113.41336
madrasah,madrasah,MI Swasta,MI,,,,-8.11965000045,112.26236
madrasah,madrasah,MTs Swasta,MTS MAMBAUL ULUM,,,,-6.99953999977,113.96021
madrasah,madrasah,MA Swasta,MA MAMBAUL ULUM,,,,-6.99910000016,113.96011
madrasah,madrasah,MI Swasta,MIM 3,,,,-6.96653000006,112.35369
madrasah,madrasah,MI Swasta,Madrasah,,,,-7.71491999986,112.8561
madrasah,madrasah,MI Swasta,MI HIDAYATUL MUTA`ALLIMIN,,,,-7.00197000032,111.71478
madrasah,madrasah,MI Swasta,MI Miftahul ulum,,,,-8.2374799996,113.64419
madrasah,madrasah,MI Swasta,MI PSM BARAN,,,,-7.93442999984,111.93727
madrasah,madrasah,MTs Swasta,PONDOK AL ISMAILI,,,,-6.96657000011,112.35318
madrasah,madrasah,MTs Swasta,MTSM 04,,,,-6.96647999955,112.35341
madrasah,madrasah,MI Swasta,MADRASAH DINIYAH,,,,-7.89680000022,112.79316
madrasah,madrasah,MI Swasta,MI darus sholah,,,,-8.43577000039,114.3061
madrasah,madrasah,MI Swasta,mi al-hidayah,,,,-7.01521000024,112.96136
madrasah,madrasah,MTs Swasta,Sekolah,,,,-7.57758999988,111.62064
madrasah,madrasah,MTs Swasta,mts al ishlah,,,,-7.77546999974,111.46785
madrasah,madrasah,MTs Swasta,MTs Tanwirul Ulum (10012),,,,-6.93874999961,113.59064
madrasah,madrasah,MA Swasta,madrasah aliyah al ishlah,,,,-7.77566999997,111.46909
madrasah,madrasah,MI Swasta,MI,,,,-6.9178699999,112.06001
madrasah,madrasah,MTs Swasta,MTS PSM BARAN,,,,-7.93457999957,111.937
madrasah,madrasah,MI Swasta,MI SABILUN NAJAH,,,,-6.89563999999,112.20529
madrasah,madrasah,MI Swasta,MI Nurul Huda,,,,-7.23573000004,111.59272
madrasah,madrasah,MI Swasta,Madrasah Diniyah Al-Ja`fari Kamal,,,,-7.17046000013,112.72278
madrasah,madrasah,MI Swasta,MI SAFINATUL ULUM,,,,-8.14338000029,112.33641
madrasah,madrasah,MI Swasta,MI NURUL IHSAN,,,,-7.02352999991,113.74276
madrasah,madrasah,MI Swasta,madrasah dusun dabang,,,,-6.91930000019,112.893
madrasah,madrasah,MI Swasta,madrasah nurul iman,,,,-6.91240000036,112.89831
madrasah,madrasah,MI Swasta,MI Nurul Iman Dempok,,,,-7.61469000024,112.25555
madrasah,madrasah,MTs Swasta,MTS Nurul Yaqin,,,,-7.2358700002,111.59273
madrasah,madrasah,MTs Swasta,MTs Nurul Iman Dempok,,,,-7.61498000013,112.25536
madrasah,madrasah,MI Swasta,Batas 4,,,,-6.88802999978,112.98841
madrasah,madrasah,MI Swasta,MI baitul hikmah,,,,-7.88239999986,113.5067
madrasah,madrasah,MI Swasta,MI Miftahul Ulum,,,,-6.94227000006,113.60103
madrasah,madrasah,MI Swasta,MI DALAILUL KHOIROT,,,,-6.99347000044,112.39279
madrasah,madrasah,MI Swasta,MI AZRUL ULUM 01,,,,-8.1819999997,112.59177
madrasah,madrasah,MI Swasta,MI Salafiyah Syafi`iyah 02,,,,-8.24570999962,113.7607
madrasah,madrasah,MI Swasta,gedung mi,,,,-7.26557999972,111.76587
madrasah,madrasah,MI Swasta,10008,,,,-7.6353499997,112.13765
madrasah,madrasah,MTs Swasta,MTS  WAHID HASYIM,,,,-8.09691999996,112.53419
madrasah,madrasah,MA Swasta,MA. MIFTAHUL ULUM(10016),,,,-8.0442599997,113.75054
madrasah,madrasah,MI Swasta,MI MIFTAHUL ULUM(10008),,,,-8.04449999997,113.75082
madrasah,madrasah,MI Swasta,MI Nurul Huda,,,,-8.06180999963,112.17843
madrasah,madrasah,MI Swasta,MI.MIFTAHUL ULUM,,,,-7.08031000041,112.45714
madrasah,madrasah,MI Swasta,sekolah,,,,-7.77454999958,113.54266
madrasah,madrasah,MTs Swasta,MTS MIFTAHUL ULUM(10012),,,,-8.04423000011,113.75086
madrasah,madrasah,MTs Swasta,LEMBAGA PENDIDIKAN,,,,-7.17479000016,112.27059
madrasah,madrasah,MI Swasta,MADRASAH IBTIDAIYAH MIFTAHUL ULUM 2,,,,-6.9089100004,112.8738
madrasah,madrasah,MI Swasta,SEKOLAH MI,,,,-8.26462000021,112.73187
madrasah,madrasah,MI Swasta,MI AL ITTIHAD,,,,-8.15299999965,113.24704
madrasah,madrasah,MI Swasta,sekolahan,,,,-7.09129000043,112.46563
madrasah,madrasah,MI Swasta,MI Miftahul Ulum,,,,-8.35179000011,113.75095
madrasah,madrasah,MTs Swasta,MTS AL ITTIHAD,,,,-8.15299000009,113.24697
madrasah,madrasah,MTs Swasta,PONDOK MODERN GONTOR 2,,,,-7.90688000011,111.46053
madrasah,madrasah,MA Swasta,PM GONTOR 2,,,,-7.90688000011,111.46052
madrasah,madrasah,MI Swasta,taman pendidikan,,,,-7.26998999984,112.72243
madrasah,madrasah,MI Swasta,MI,,,,-7.1720000001,113.38257
madrasah,madrasah,MI Swasta,MI SWASTA MIFTAHUL ULUM PAGER,,,,-7.75454000042,112.71398
madrasah,madrasah,MTs Swasta,Mts Al Anwar,,,,-7.9513500004,113.80715
madrasah,madrasah,MTs Swasta,MTs Darul ulum,,,,-6.93582000029,113.49871
madrasah,madrasah,MA Swasta,ma al-azhar,,,,-7.53261000035,112.22121
madrasah,madrasah,MI Swasta,MI AL- HIDAYAH,,,,-7.06086999965,112.39582
madrasah,madrasah,MI Swasta,MIM 11 NURUL ISLAMIYAH,,,,-7.32511999979,112.05326
madrasah,madrasah,MI Swasta,MI NURUR RAHMAN,,,,-8.01872999959,113.82791
madrasah,madrasah,MI Swasta,Sekolahan,,,,-7.58975000036,112.26852
madrasah,madrasah,MI Swasta,MI Quthrotun Nur,,,,-7.14954000037,112.94099
madrasah,madrasah,MI Swasta,MI nurul jadid,,,,-7.14961,112.91169
madrasah,madrasah,MI Swasta,mi,,,,-7.13171999968,111.9322
madrasah,madrasah,MI Swasta,TK nurul hidayah,,,,-7.10474000015,112.7261
madrasah,madrasah,MI Swasta,MI NURUL YAQIN,,,,-7.12635000025,113.37038
madrasah,madrasah,MTs Swasta,MTs An Nur,,,,-6.94508000014,113.60287
madrasah,madrasah,MTs Swasta,yayasan Ash-Shufi,,,,-8.16497999993,112.13852
madrasah,madrasah,MTs Swasta,Mts Sirajul Huda,,,,-6.95214000016,112.92424
madrasah,madrasah,MTs Swasta,MTS NURUL YAQIN,,,,-7.12459000003,113.37051
madrasah,madrasah,MA Swasta,MA NURUL YAQIN,,,,-7.12652,113.37042
madrasah,madrasah,MI Swasta,MI Al-Hikmah,,,,-7.67083,111.48947
madrasah,madrasah,MI Swasta,MADRASAH,,,,-7.59339999961,112.10451
madrasah,madrasah,MI Swasta,MI TARBIYATUL ATHFAL,,,,-7.29714000001,112.39029
madrasah,madrasah,MI Swasta,SEKOLAHAN,,,,-7.20387999986,112.2934
madrasah,madrasah,MTs Swasta,sekolah MTS,,,,-7.2137400004,113.35022
madrasah,madrasah,MTs Swasta,MTS TARBIYATUSSHOLIHIN,,,,-7.29699999985,112.39014
madrasah,madrasah,MA Swasta,sekolah MA,,,,-7.21350000012,113.34978
madrasah,madrasah,MI Swasta,batas 1,,,,-7.01675000021,112.24437
madrasah,madrasah,MI Swasta,MINU ROMLI AFIFAH,,,,-8.05262999987,112.63318
madrasah,madrasah,MI Swasta,MIMA Darus Salam,,,,-8.28750999999,113.57422
madrasah,madrasah,MI Swasta,Batas Rt. 03 Rw. 07,,,,-8.15648000005,112.13244
madrasah,madrasah,MA Swasta,MA NURUL ISLAM,,,,-7.29695000024,112.39004
madrasah,madrasah,MA Swasta,Madrasah Aliyah As-Salamah,,,,-7.71243000014,114.1043
madrasah,madrasah,MI Swasta,MI ASSHOLIHI,,,,-8.18078999966,113.28023
madrasah,madrasah,MI Swasta,madarah Ibtidaiyah,,,,-7.14768999959,112.9018
madrasah,madrasah,MI Swasta,MI Da`watul Khoiriyah,,,,-7.16223000011,112.54382
madrasah,madrasah,MTs Swasta,Infrastruktur,,,,-6.87224999964,112.34062
madrasah,madrasah,MTs Swasta,MTs Ma`arif NU,,,,-7.93721000034,112.63042
madrasah,madrasah,MTs Swasta,MTS AL-Kholafiyah,,,,-8.17932000022,113.2863
madrasah,madrasah,MTs Swasta,MTs salafiyah,,,,-7.68133000038,112.89779
madrasah,madrasah,MA Swasta,MA Al Anwar,,,,-7.95133000038,113.80713
madrasah,madrasah,MA Swasta,MA AL-Kholafiyah,,,,-8.17911000043,113.2862
madrasah,madrasah,MI Swasta,MI,,,,-7.67990000008,112.89869
madrasah,madrasah,MI Swasta,MI ISLAMIYAH,,,,-7.20892000026,112.28842
madrasah,madrasah,MI Swasta,MI ROUDLOTUL ISLAMIYAH,,,,-7.41782999975,112.65189
madrasah,madrasah,MI Swasta,MI PSM,,,,-7.66099000039,111.41553
madrasah,madrasah,MTs Swasta,Mts hidayatul muta`alimin,,,,-7.41926000005,112.65123
madrasah,madrasah,MA Swasta,MA WALISONGO,,,,-8.15605000001,113.38963
madrasah,madrasah,MI Swasta,MI AL-KAUTSAR,,,,-7.72678,111.56081
madrasah,madrasah,MI Swasta,MI Darul Quran,,,,-7.81706000032,113.21493
madrasah,madrasah,MI Swasta,MI Nurul Iman,,,,-7.76226999986,111.50203
madrasah,madrasah,MI Swasta,Sekolah MI AT - TAUBAH,,,,-7.19624999964,113.31477
madrasah,madrasah,MI Swasta,MI Swasta Raudlatul Hasaniyah,,,,-7.94183999982,113.41003
madrasah,madrasah,MI Swasta,MI DSN. CANDIPARI,,,,-7.08389000002,112.39838
madrasah,madrasah,MI Swasta,SEKOLAHAN,,,,-7.2056099996,112.29939
madrasah,madrasah,MTs Swasta,MTs,,,,-7.21608999995,113.31116
madrasah,madrasah,MTs Swasta,MTS AL HUDA,,,,-7.21976000012,111.70724
madrasah,madrasah,MTs Swasta,MTS Nurul Iman,,,,-7.76230000034,111.50208
madrasah,madrasah,MTs Swasta,MTs NURUL FALAH,,,,-6.90177000029,112.01426
madrasah,madrasah,MA Swasta,MA aliyah,,,,-7.21610000041,113.31106
madrasah,madrasah,MA Swasta,MA Nurul Iman,,,,-7.7622600003,111.50202
madrasah,madrasah,MA Swasta,MA  PlusDaarul Muhibbin,,,,-8.36950000022,113.47517
madrasah,madrasah,MI Swasta,MI,,,,-7.56870999957,111.27011
madrasah,madrasah,MI Swasta,MI AL MUFIDAH,,,,-7.94589999998,114.39404
madrasah,madrasah,MI Swasta,MI Darul ulum,,,,-7.4229599998,112.68093
madrasah,madrasah,MI Swasta,Mi Bahrul Ulum,,,,-7.09041000032,112.49657
madrasah,madrasah,MI Swasta,sekolah MI Darusallam I,,,,-7.22130999966,112.75952
madrasah,madrasah,MI Swasta,MI Sunan Kalijogo,,,,-6.86690000023,111.8402
madrasah,madrasah,MI Swasta,Madarasah Nurul Huda,,,,-8.17294999964,112.36636
madrasah,madrasah,MI Swasta,MI Riyadlus Sholihien,,,,-8.17107000018,113.68741
madrasah,madrasah,MTs Swasta,MTS AFDILAH AINUL YAQIN,,,,-8.20836999988,113.93361
madrasah,madrasah,MI Swasta,MI Raudlatul Muta`allimin Wonokasian 1,,,,-7.42933999994,112.65671
madrasah,madrasah,MTs Swasta,Mts. Al Hidayah Karanglo,,,,-6.89114999977,111.90877
