id,nama,tipe_kode,wkt_polygon
aplicares_32,BP FAJAR DATARI (JST),B,"POLYGON((111.447337 -7.864976, 111.447336 -7.864999, 111.447314 -7.865399, 111.452056 -7.872634, 111.45685 -7.877726, 111.462352 -7.883132, 111.463498 -7.883038, 111.46477 -7.882977, 111.468759 -7.883487, 111.475025 -7.889218, 111.477153 -7.890796, 111.477796 -7.890753, 111.478572 -7.89049, 111.479543 -7.889361, 111.484084 -7.883733, 111.490528 -7.877803, 111.492446 -7.876791, 111.496826 -7.872085, 111.499762 -7.869602, 111.502267 -7.867016, 111.505937 -7.862881, 111.507893 -7.855549, 111.507899 -7.855351, 111.503804 -7.848348, 111.501902 -7.846636, 111.499099 -7.844267, 111.494102 -7.839239, 111.494066 -7.839214, 111.485357 -7.838298, 111.484789 -7.836112, 111.48259 -7.835995, 111.482495 -7.836109, 111.47661 -7.840276, 111.47026 -7.837533, 111.469452 -7.836498, 111.469368 -7.836483, 111.466662 -7.83742, 111.462007 -7.842026, 111.460495 -7.843639, 111.453276 -7.848858, 111.451812 -7.855283, 111.448717 -7.863301, 111.447375 -7.864431, 111.447337 -7.864976))"
aplicares_33,Klinik Pringgo Husada,B,"POLYGON((111.454396 -7.855304, 111.454302 -7.858903, 111.453666 -7.864998, 111.453671 -7.865302, 111.457435 -7.870316, 111.459676 -7.873595, 111.464052 -7.878844, 111.467467 -7.881584, 111.472691 -7.88362, 111.477229 -7.884307, 111.477803 -7.884294, 111.48307 -7.881232, 111.49096 -7.879041, 111.492766 -7.879076, 111.493968 -7.879077, 111.494585 -7.879066, 111.495755 -7.877177, 111.50198 -7.873173, 111.503269 -7.872068, 111.508151 -7.865594, 111.510214 -7.862662, 111.511471 -7.85942, 111.510689 -7.856379, 111.509678 -7.85447, 111.506735 -7.847516, 111.504589 -7.845324, 111.500674 -7.842589, 111.495813 -7.838697, 111.494202 -7.837303, 111.49384 -7.837343, 111.485879 -7.837483, 111.48443 -7.836179, 111.483857 -7.836275, 111.48228 -7.837547, 111.477489 -7.840145, 111.470246 -7.838618, 111.466647 -7.838651, 111.463036 -7.84249, 111.460536 -7.845634, 111.457328 -7.849525, 111.454857 -7.853221, 111.454396 -7.855304))"
aplicares_34,Klinik Al-Hikmah,B,"POLYGON((111.412229 -7.804611, 111.412425 -7.805385, 111.413548 -7.806119, 111.416722 -7.814194, 111.416277 -7.817766, 111.416659 -7.822777, 111.417071 -7.823717, 111.418233 -7.823964, 111.423999 -7.8303, 111.424795 -7.834448, 111.426454 -7.837104, 111.428136 -7.839129, 111.428171 -7.839131, 111.430164 -7.837963, 111.438905 -7.839206, 111.440642 -7.839446, 111.441984 -7.839275, 111.447303 -7.832809, 111.447516 -7.831356, 111.447557 -7.830863, 111.447528 -7.830422, 111.446689 -7.829169, 111.446252 -7.820494, 111.446165 -7.819262, 111.446061 -7.816898, 111.444462 -7.809914, 111.443834 -7.803687, 111.445232 -7.800867, 111.451587 -7.797319, 111.454276 -7.796913, 111.454365 -7.796772, 111.455234 -7.792459, 111.455238 -7.792361, 111.453223 -7.787891, 111.4487 -7.782537, 111.448404 -7.78249, 111.447632 -7.782423, 111.444629 -7.782263, 111.439515 -7.783671, 111.434437 -7.781985, 111.431978 -7.78112, 111.430974 -7.781, 111.430364 -7.781771, 111.428318 -7.788136, 111.425683 -7.791318, 111.419198 -7.792528, 111.419028 -7.792507, 111.41753 -7.793351, 111.417219 -7.793903, 111.414721 -7.79905, 111.412718 -7.802617, 111.412229 -7.804611))"
aplicares_35,Klinik Mutiara Delima,B,"POLYGON((111.559891 -8.010616, 111.56469 -8.014453, 111.564814 -8.014631, 111.564951 -8.014786, 111.565097 -8.014888, 111.565414 -8.014975, 111.568217 -8.022367, 111.565387 -8.02425, 111.565021 -8.024324, 111.564826 -8.024419, 111.564984 -8.024743, 111.566143 -8.025001, 111.566262 -8.024995, 111.568831 -8.024645, 111.573368 -8.031414, 111.57359 -8.031678, 111.574146 -8.032207, 111.57433 -8.032281, 111.576171 -8.032552, 111.576482 -8.032454, 111.57662 -8.032334, 111.580572 -8.02941, 111.585918 -8.028544, 111.586276 -8.028516, 111.591373 -8.025577, 111.592665 -8.021728, 111.592551 -8.021386, 111.589439 -8.01801, 111.588604 -8.016998, 111.588271 -8.01686, 111.584098 -8.010839, 111.584959 -8.007214, 111.584892 -8.006417, 111.58427 -8.004798, 111.582258 -7.997723, 111.579556 -7.99534, 111.579363 -7.995227, 111.57918 -7.995197, 111.579066 -7.9952, 111.578178 -7.995254, 111.577681 -7.996434, 111.577632 -7.996577, 111.575174 -8.001442, 111.56847 -8.004882, 111.566399 -8.004587, 111.566278 -8.004595, 111.566144 -8.004639, 111.566019 -8.004707, 111.560928 -8.007892, 111.560036 -8.009708, 111.559979 -8.009845, 111.559891 -8.010616))"
aplicares_36,KLINIK RULIA MEDIKA,B,"POLYGON((111.42746 -7.865786, 111.42861 -7.867072, 111.42914 -7.867608, 111.43276 -7.87123, 111.437345 -7.876193, 111.438677 -7.878027, 111.440272 -7.879479, 111.44053 -7.87947, 111.444612 -7.878978, 111.447756 -7.885307, 111.449272 -7.886414, 111.450316 -7.886807, 111.450712 -7.886928, 111.456429 -7.888054, 111.459401 -7.892925, 111.460025 -7.894017, 111.463735 -7.894037, 111.467488 -7.891153, 111.467483 -7.890452, 111.467493 -7.889631, 111.47267 -7.88257, 111.477229 -7.884307, 111.477533 -7.8843, 111.48198 -7.880275, 111.482039 -7.880194, 111.487492 -7.873192, 111.488035 -7.872598, 111.489579 -7.870935, 111.491058 -7.8686, 111.491934 -7.865996, 111.493159 -7.861679, 111.492584 -7.858345, 111.491838 -7.855154, 111.488952 -7.851989, 111.484909 -7.847686, 111.481321 -7.843281, 111.479696 -7.841706, 111.479015 -7.841549, 111.478054 -7.841411, 111.470244 -7.838335, 111.466644 -7.838367, 111.458759 -7.83806, 111.45869 -7.838056, 111.458068 -7.83805, 111.454862 -7.838301, 111.450456 -7.841829, 111.450321 -7.842195, 111.45031 -7.842787, 111.450185 -7.843889, 111.450104 -7.84519, 111.442622 -7.850033, 111.442336 -7.850052, 111.44064 -7.85168, 111.438084 -7.854159, 111.43707 -7.855166, 111.431597 -7.860713, 111.427461 -7.865599, 111.42746 -7.865786))"
aplicares_37,KLINIK FAUZIAH PULUNG,B,"POLYGON((111.587828 -7.870207, 111.589764 -7.878943, 111.585789 -7.88691, 111.586887 -7.890339, 111.587851 -7.89003, 111.589387 -7.889498, 111.590234 -7.889303, 111.591687 -7.889124, 111.592077 -7.889046, 111.592472 -7.888927, 111.594996 -7.888585, 111.597654 -7.888568, 111.598496 -7.888515, 111.600794 -7.88832, 111.606361 -7.893299, 111.605107 -7.89669, 111.604565 -7.897929, 111.603966 -7.899936, 111.603488 -7.900968, 111.603407 -7.901628, 111.606509 -7.902618, 111.606659 -7.902561, 111.607301 -7.90213, 111.607831 -7.901003, 111.609435 -7.89644, 111.609954 -7.894096, 111.610111 -7.893604, 111.610648 -7.891543, 111.61294 -7.887112, 111.621639 -7.886336, 111.62595 -7.891614, 111.623944 -7.89721, 111.624723 -7.900725, 111.628415 -7.902753, 111.631393 -7.900731, 111.635361 -7.895082, 111.640119 -7.890996, 111.643571 -7.885558, 111.64704 -7.882424, 111.648048 -7.881263, 111.648226 -7.8787, 111.64588 -7.872731, 111.644556 -7.868544, 111.643079 -7.866922, 111.636517 -7.864567, 111.631732 -7.859495, 111.631021 -7.858289, 111.629512 -7.857313, 111.629471 -7.857292, 111.629056 -7.857199, 111.628369 -7.857222, 111.627672 -7.857527, 111.619346 -7.857233, 111.618212 -7.855945, 111.617534 -7.854986, 111.616643 -7.853111, 111.616423 -7.852411, 111.616199 -7.851513, 111.616105 -7.851205, 111.612661 -7.852252, 111.609299 -7.855141, 111.607705 -7.858564, 111.599846 -7.861646, 111.597232 -7.864695, 111.589782 -7.866721, 111.588864 -7.866649, 111.587986 -7.866611, 111.587828 -7.870207))"
aplicares_38,KLINIK MUHAMMADIYAH BALONG,B,"POLYGON((111.396798 -7.95517, 111.397501 -7.956164, 111.401254 -7.961138, 111.40481 -7.964992, 111.40831 -7.968095, 111.412022 -7.972064, 111.414608 -7.975115, 111.416891 -7.979685, 111.423072 -7.985933, 111.426424 -7.987682, 111.426827 -7.987773, 111.428246 -7.987612, 111.433955 -7.982864, 111.436313 -7.981825, 111.443596 -7.977352, 111.448722 -7.973912, 111.453517 -7.969094, 111.45693 -7.96737, 111.462773 -7.962852, 111.464665 -7.961556, 111.464681 -7.961502, 111.463786 -7.960077, 111.463212 -7.959278, 111.461196 -7.956822, 111.458276 -7.949145, 111.45771 -7.948956, 111.456442 -7.948487, 111.451285 -7.941127, 111.449885 -7.935081, 111.446622 -7.933561, 111.440416 -7.930164, 111.437974 -7.92639, 111.436615 -7.924311, 111.436583 -7.924303, 111.429069 -7.927586, 111.421946 -7.93088, 111.41531 -7.934402, 111.412468 -7.937172, 111.408437 -7.942487, 111.405209 -7.945026, 111.403579 -7.94629, 111.398713 -7.950674, 111.397695 -7.952569, 111.396907 -7.95422, 111.396798 -7.95517))"
aplicares_39,KLINIK AISYIYAH JETIS,B,"POLYGON((111.459469 -7.927992, 111.459413 -7.934533, 111.458984 -7.938107, 111.461753 -7.943521, 111.463404 -7.951149, 111.462855 -7.954707, 111.463418 -7.955881, 111.464302 -7.95765, 111.465023 -7.95862, 111.468376 -7.95993, 111.468816 -7.958805, 111.474642 -7.955119, 111.478627 -7.959393, 111.48072 -7.96185, 111.485129 -7.96564, 111.489907 -7.970985, 111.493471 -7.971492, 111.496659 -7.969113, 111.503515 -7.964277, 111.509189 -7.962999, 111.511457 -7.961498, 111.511308 -7.957901, 111.511229 -7.957734, 111.507624 -7.950977, 111.508428 -7.948332, 111.508471 -7.94791, 111.507663 -7.946781, 111.506916 -7.946348, 111.5063 -7.946239, 111.501759 -7.944135, 111.501546 -7.937018, 111.501655 -7.936079, 111.5021 -7.932905, 111.502127 -7.932537, 111.501578 -7.929222, 111.500158 -7.924556, 111.49812 -7.922376, 111.495813 -7.919902, 111.49225 -7.91939, 111.485579 -7.914402, 111.485023 -7.91348, 111.483806 -7.913268, 111.482139 -7.91334, 111.476793 -7.915407, 111.46813 -7.914991, 111.464671 -7.915988, 111.464711 -7.916127, 111.465512 -7.918741, 111.460309 -7.924491, 111.459469 -7.927992))"
aplicares_40,KLINIK IDOLA MEDICAL CENTRE,B,"POLYGON((111.451808 -7.855096, 111.451811 -7.855239, 111.450604 -7.864124, 111.450414 -7.865024, 111.45041 -7.86551, 111.451709 -7.86685, 111.456016 -7.873738, 111.461778 -7.879605, 111.464999 -7.882957, 111.466971 -7.884055, 111.47057 -7.883979, 111.475565 -7.886779, 111.479161 -7.886617, 111.485335 -7.880723, 111.492766 -7.879076, 111.493968 -7.879077, 111.494492 -7.879068, 111.495646 -7.877181, 111.502747 -7.872088, 111.503857 -7.87092, 111.504836 -7.868638, 111.509418 -7.863798, 111.5114 -7.860798, 111.51142 -7.860622, 111.51073 -7.856139, 111.507366 -7.849381, 111.505562 -7.844935, 111.500899 -7.842531, 111.495805 -7.83857, 111.494288 -7.837293, 111.486384 -7.834192, 111.484287 -7.833986, 111.483755 -7.834123, 111.479848 -7.837858, 111.471289 -7.836811, 111.469774 -7.835342, 111.468917 -7.835132, 111.466722 -7.83594, 111.460457 -7.842168, 111.457714 -7.844965, 111.453268 -7.848568, 111.451808 -7.855096))"
aplicares_41,RUMAH SEHAT MUHAMMADIYAH,B,"POLYGON((111.445275 -7.824375, 111.445247 -7.824986, 111.445347 -7.825769, 111.445534 -7.82635, 111.446351 -7.831036, 111.444529 -7.836951, 111.447851 -7.840872, 111.455214 -7.845239, 111.455839 -7.851643, 111.455931 -7.852149, 111.457355 -7.853124, 111.460894 -7.855494, 111.464399 -7.859438, 111.464488 -7.859572, 111.46551 -7.86034, 111.468376 -7.861994, 111.4687 -7.861959, 111.471047 -7.860877, 111.477326 -7.855775, 111.478506 -7.854127, 111.481369 -7.85019, 111.482607 -7.848608, 111.484136 -7.845182, 111.484579 -7.844173, 111.485586 -7.841862, 111.494138 -7.839743, 111.494364 -7.839715, 111.495742 -7.838021, 111.495989 -7.837488, 111.496234 -7.834936, 111.496227 -7.834794, 111.495602 -7.833909, 111.492703 -7.829628, 111.491488 -7.827726, 111.48936 -7.819669, 111.490002 -7.818686, 111.490021 -7.818101, 111.489619 -7.816795, 111.488729 -7.816124, 111.483113 -7.812113, 111.481898 -7.810251, 111.478442 -7.807035, 111.476747 -7.801679, 111.473476 -7.799566, 111.469876 -7.799539, 111.461164 -7.80112, 111.458268 -7.803259, 111.457619 -7.808647, 111.454699 -7.812205, 111.453748 -7.814369, 111.445787 -7.817744, 111.445275 -7.824375))"
