id,nama,tipe_kode,tipe_label,lat,lon,wkt_point,punya_isochrone
aplicares_3847,Wonomerto ,0,Puskesmas (kode 0),-7.836569663378256,113.1489248981476,POINT(113.1489248981476 -7.836569663378256),False
aplicares_3848,Sumberasih ,0,Puskesmas (kode 0),-7.79315,113.163,POINT(113.163 -7.79315),False
aplicares_3849,Sukapura ,0,Puskesmas (kode 0),-7.88575,113.049,POINT(113.049 -7.88575),False
aplicares_3850,Lumbang ,0,Puskesmas (kode 0),-7.82754,113.063,POINT(113.063 -7.82754),False
aplicares_3851,Sumber  ,0,Puskesmas (kode 0),-7.9383775156038,113.11652229214,POINT(113.11652229214 -7.9383775156038),False
aplicares_3852,Kuripan ,0,Puskesmas (kode 0),-7.88923,113.145,POINT(113.145 -7.88923),False
aplicares_3853,Leces ,0,Puskesmas (kode 0),-7.857958350233927,113.23373177909852,POINT(113.23373177909852 -7.857958350233927),False
aplicares_3854,Jorongan ,0,Puskesmas (kode 0),-7.8103120519817,113.22770588493,POINT(113.22770588493 -7.8103120519817),False
aplicares_3855,Tegal Siwalan ,0,Puskesmas (kode 0),-7.87379,113.255,POINT(113.255 -7.87379),False
aplicares_3856,Bantaran ,1,Puskesmas (kode 1),-7.86633,113.179,POINT(113.179 -7.86633),True
aplicares_3857,Dringu ,1,Puskesmas (kode 1),-7.76889,113.249,POINT(113.249 -7.76889),True
aplicares_3858,Gending ,1,Puskesmas (kode 1),-7.79215,113.31,POINT(113.31 -7.79215),True
aplicares_3859,Banyuanyar ,1,Puskesmas (kode 1),-7.85975,113.3,POINT(113.3 -7.85975),True
aplicares_3860,Klenang Kidul ,1,Puskesmas (kode 1),-7.8576,113.329,POINT(113.329 -7.8576),True
aplicares_3861,Maron ,1,Puskesmas (kode 1),-7.84827,113.357,POINT(113.357 -7.84827),True
aplicares_3862,Suko ,1,Puskesmas (kode 1),-7.80293,113.349,POINT(113.349 -7.80293),True
aplicares_3863,Kraksaan ,1,Puskesmas (kode 1),-7.7606572154418965,113.41396688556671,POINT(113.41396688556671 -7.7606572154418965),True
aplicares_3864,Pajarakan ,1,Puskesmas (kode 1),-7.766805587115929,113.37840769577025,POINT(113.37840769577025 -7.766805587115929),True
aplicares_3865,Krejengan ,1,Puskesmas (kode 1),-7.79805,113.408,POINT(113.408 -7.79805),True
aplicares_3866,Besuk ,1,Puskesmas (kode 1),-7.77427,113.475,POINT(113.475 -7.77427),True
aplicares_3867,Bago ,1,Puskesmas (kode 1),-7.82851,113.494,POINT(113.494 -7.82851),True
aplicares_3868,Paiton ,1,Puskesmas (kode 1),-7.71617,113.511,POINT(113.511 -7.71617),True
aplicares_3869,Jabungsisir ,1,Puskesmas (kode 1),-7.73646,113.467,POINT(113.467 -7.73646),True
aplicares_3870,Pakuniran ,2,Puskesmas (kode 2),-7.789260136858872,113.51030615788699,POINT(113.51030615788699 -7.789260136858872),False
aplicares_3871,Glagah ,2,Puskesmas (kode 2),-7.77732,113.501,POINT(113.501 -7.77732),False
aplicares_3872,Kotaanyar ,2,Puskesmas (kode 2),-7.74322,113.533,POINT(113.533 -7.74322),False
aplicares_3873,Wangkal ,2,Puskesmas (kode 2),-7.84567,113.436,POINT(113.436 -7.84567),False
aplicares_3874,Condong ,2,Puskesmas (kode 2),-7.87109,113.377,POINT(113.377 -7.87109),False
aplicares_3875,Krucil ,2,Puskesmas (kode 2),-7.94349,113.475,POINT(113.475 -7.94349),False
