jenis,nama,lat,lon,status_verifikasi,jarak_pencocokan_m
puskesmas,SOBO,-8.235413,114.258911,hanya_scrape_perlu_verifikasi,
puskesmas,AMPEL GADING,-8.234192,112.878479,terverifikasi_2_sumber,17.7
puskesmas,BINANGUN,-8.234009,112.334473,terverifikasi_2_sumber,70.8
puskesmas,PAGAK,-8.233276,112.520081,hanya_scrape_perlu_verifikasi,
puskesmas,YOSOWILANGUN,-8.233093,113.309692,terverifikasi_2_sumber,23.5
puskesmas,AJUNG,-8.233093,113.655884,terverifikasi_2_sumber,39.2
puskesmas,TOSARI,-8.231995,112.814514,hanya_scrape_perlu_verifikasi,
puskesmas,SILO II,-8.231628,113.850525,terverifikasi_2_sumber,54.9
puskesmas,TIRTOYUDO,-8.230286,112.830505,hanya_scrape_perlu_verifikasi,
puskesmas,JOMBANG,-8.228882,113.317688,terverifikasi_2_sumber,77.3
puskesmas,PALERAN,-8.227905,113.490723,terverifikasi_2_sumber,36.2
puskesmas,WONOKERTO,-8.22449,112.59877,hanya_scrape_perlu_verifikasi,
puskesmas,SUKOREJO,-8.223511,113.52948,terverifikasi_2_sumber,59.0
puskesmas,KEBONAGUNG,-8.220886,111.158081,hanya_scrape_perlu_verifikasi,
puskesmas,CANDI,-8.219788,111.025513,terverifikasi_2_sumber,56.5
puskesmas,KUNIR,-8.219727,113.225525,terverifikasi_2_sumber,52.7
puskesmas,BESOLE,-8.219421,111.820923,terverifikasi_2_sumber,8.8
puskesmas,TANGGUNGGUNUNG,-8.218384,111.875671,terverifikasi_2_sumber,40.5
puskesmas,BODAG,-8.216675,111.457092,terverifikasi_2_sumber,41.8
puskesmas,PANDEAN,-8.214722,111.542908,hanya_scrape_perlu_verifikasi,
puskesmas,SEMBORO,-8.213013,113.46051,terverifikasi_2_sumber,56.2
puskesmas,DAMPIT,-8.211609,112.746704,terverifikasi_2_sumber,258.4
puskesmas,RAMBIPUJI,-8.21051,113.604675,terverifikasi_2_sumber,67.0
puskesmas,GLADAKPAKEM,-8.210205,113.695923,terverifikasi_2_sumber,11.1
